v;VdW;RKw;S;PR;BWR;GI;
0.597266515;-3277.081;43.424;44.183;25.336;41.587;31.2772;
0.697266515;122.528;19.483;20.075;13.035;15.171;26.7915;
0.797266515;38.133;11.200;11.675;8.519;8.592;23.4311;
0.897266515;17.642;7.733;8.123;6.571;6.527;20.8197;
0.997266515;10.264;6.123;6.449;5.639;5.655;18.7320;
1.097266515;7.132;5.323;5.600;5.157;5.178;17.0249;
1.197266515;5.678;4.904;5.142;4.888;4.875;15.6029;
1.297266515;4.968;4.674;4.881;4.724;4.665;14.4001;
1.397266515;4.607;4.538;4.719;4.613;4.513;13.3695;
1.497266515;4.419;4.449;4.610;4.528;4.398;12.4766;
1.597266515;4.315;4.385;4.528;4.457;4.307;11.6955;
1.697266515;4.253;4.331;4.459;4.392;4.231;11.0064;
1.797266515;4.211;4.282;4.397;4.330;4.164;10.3940;
1.897266515;4.175;4.233;4.338;4.268;4.103;9.8462;
1.997266515;4.141;4.184;4.280;4.207;4.046;9.3532;
2.097266515;4.106;4.134;4.221;4.145;3.990;8.9072;
2.197266515;4.069;4.082;4.162;4.084;3.936;8.5018;
2.297266515;4.029;4.028;4.102;4.022;3.882;8.1318;
2.397266515;3.986;3.974;4.042;3.960;3.829;7.7925;
2.497266515;3.940;3.919;3.982;3.898;3.776;7.4805;
2.597266515;3.893;3.863;3.922;3.837;3.723;7.1925;
2.697266515;3.844;3.807;3.862;3.777;3.671;6.9258;
2.797266515;3.794;3.751;3.802;3.717;3.619;6.6782;
2.897266515;3.743;3.695;3.743;3.658;3.567;6.4477;
2.997266515;3.692;3.640;3.685;3.600;3.516;6.2326;
3.097266515;3.640;3.585;3.628;3.543;3.465;6.0314;
3.197266515;3.588;3.531;3.571;3.488;3.415;5.8427;
3.297266515;3.537;3.478;3.515;3.433;3.366;5.6655;
3.397266515;3.486;3.425;3.461;3.379;3.318;5.4988;
3.497266515;3.435;3.373;3.407;3.327;3.270;5.3415;
3.597266515;3.385;3.323;3.355;3.276;3.223;5.1931;
3.697266515;3.336;3.273;3.303;3.226;3.177;5.0526;
3.797266515;3.287;3.224;3.253;3.177;3.132;4.9195;
3.897266515;3.239;3.176;3.204;3.129;3.087;4.7933;
3.997266515;3.192;3.130;3.156;3.082;3.044;4.6734;
4.097266515;3.146;3.084;3.109;3.037;3.001;4.5593;
4.197266515;3.101;3.039;3.063;2.992;2.959;4.4507;
4.297266515;3.057;2.996;3.018;2.949;2.919;4.3471;
4.397266515;3.014;2.953;2.975;2.907;2.879;4.2483;
4.497266515;2.971;2.911;2.932;2.866;2.840;4.1538;
4.597266515;2.930;2.870;2.890;2.825;2.801;4.0635;
4.697266515;2.889;2.831;2.850;2.786;2.764;3.9770;
4.797266515;2.849;2.792;2.810;2.748;2.727;3.8941;
4.897266515;2.810;2.754;2.771;2.710;2.691;3.8145;
4.997266515;2.772;2.717;2.734;2.674;2.656;3.7382;
5.097266515;2.735;2.680;2.697;2.638;2.622;3.6649;
5.197266515;2.699;2.645;2.661;2.604;2.589;3.5944;
5.297266515;2.663;2.611;2.626;2.570;2.556;3.5265;
5.397266515;2.629;2.577;2.591;2.537;2.524;3.4612;
5.497266515;2.595;2.544;2.558;2.504;2.492;3.3982;
5.597266515;2.562;2.512;2.525;2.473;2.462;3.3375;
5.697266515;2.529;2.480;2.493;2.442;2.432;3.2789;
5.797266515;2.498;2.449;2.462;2.412;2.402;3.2223;
5.897266515;2.467;2.419;2.432;2.382;2.374;3.1677;
5.997266515;2.436;2.390;2.402;2.353;2.346;3.1149;
6.097266515;2.407;2.361;2.373;2.325;2.318;3.0638;
6.197266515;2.378;2.333;2.344;2.298;2.291;3.0144;
6.297266515;2.349;2.305;2.316;2.271;2.265;2.9665;
6.397266515;2.322;2.278;2.289;2.244;2.239;2.9201;
6.497266515;2.295;2.252;2.262;2.219;2.214;2.8752;
6.597266515;2.268;2.226;2.236;2.194;2.189;2.8316;
6.697266515;2.242;2.201;2.211;2.169;2.165;2.7893;
6.797266515;2.217;2.176;2.186;2.145;2.141;2.7483;
6.897266515;2.192;2.152;2.161;2.121;2.118;2.7084;
6.997266515;2.167;2.129;2.137;2.098;2.095;2.6697;
7.097266515;2.143;2.105;2.114;2.075;2.073;2.6321;
7.197266515;2.120;2.083;2.091;2.053;2.051;2.5955;
7.297266515;2.097;2.060;2.069;2.031;2.029;2.5600;
7.397266515;2.075;2.039;2.047;2.010;2.008;2.5254;
7.497266515;2.053;2.017;2.025;1.989;1.988;2.4917;
7.597266515;2.031;1.996;2.004;1.969;1.968;2.4589;
7.697266515;2.010;1.976;1.983;1.949;1.948;2.4269;
7.797266515;1.989;1.956;1.963;1.929;1.928;2.3958;
7.897266515;1.969;1.936;1.943;1.910;1.909;2.3655;
7.997266515;1.949;1.917;1.924;1.891;1.891;2.3359;
8.097266515;1.929;1.898;1.904;1.872;1.872;2.3071;
8.197266515;1.910;1.879;1.886;1.854;1.854;2.2789;
8.297266515;1.891;1.861;1.867;1.836;1.836;2.2514;
8.397266515;1.873;1.843;1.849;1.819;1.819;2.2246;
8.497266515;1.855;1.825;1.831;1.802;1.802;2.1984;
8.597266515;1.837;1.808;1.814;1.785;1.785;2.1729;
8.697266515;1.820;1.791;1.797;1.768;1.769;2.1479;
8.797266515;1.803;1.775;1.780;1.752;1.753;2.1235;
8.897266515;1.786;1.758;1.764;1.736;1.737;2.0996;
8.997266515;1.769;1.742;1.748;1.720;1.721;2.0763;
9.097266515;1.753;1.726;1.732;1.705;1.706;2.0535;
9.197266515;1.737;1.711;1.716;1.690;1.691;2.0311;
9.297266515;1.721;1.696;1.701;1.675;1.676;2.0093;
9.397266515;1.706;1.681;1.686;1.660;1.661;1.9879;
9.497266515;1.691;1.666;1.671;1.646;1.647;1.9670;
9.597266515;1.676;1.651;1.656;1.631;1.633;1.9465;
9.697266515;1.661;1.637;1.642;1.618;1.619;1.9264;
9.797266515;1.647;1.623;1.628;1.604;1.605;1.9067;
9.897266515;1.633;1.609;1.614;1.590;1.592;1.8875;
9.997266515;1.619;1.596;1.600;1.577;1.579;1.8686;
10.09726651;1.605;1.583;1.587;1.564;1.566;1.8501;
10.19726651;1.592;1.570;1.574;1.551;1.553;1.8319;
10.29726651;1.579;1.557;1.561;1.539;1.540;1.8142;
10.39726651;1.566;1.544;1.548;0.000;1.528;1.7967;
10.49726651;1.553;1.532;1.536;0.000;1.516;1.7796;
;